bank code,bank name,branch code,sub branch code,branch name,address,city,zipcode,pob,telephone,handicap accessible,day closed,branch type,teller services,mortgage consulting,financial entities services,financial entities accounts,merge bank,merge branch,X coordinate,Y coordinate,open date,close date
4,"בנק יהב לעובדי המדינה בע""מ",120,,ראשי ירושלים,הלל 14 ,ירושלים,9458114,36333,02-5009911,כן,יום א,רגיל,לא,כן,כן,כן,,,31.78012,35.21738,01/02/1949,
4,"בנק יהב לעובדי המדינה בע""מ",121,,קדם,שד' משה דיין 166 שכונת פסגת זאב,ירושלים,9781609,36333,02-5009911,כן,יום א,רגיל,לא,כן,כן,כן,,497,31.820497,35.239889,20/10/1983,
4,"בנק יהב לעובדי המדינה בע""מ",123,,בית יהב,ירמיהו 80 ,ירושלים,9446759,36333,02-5009911,כן,יום ו,רגיל,לא,כן,כן,כן,,,31.790769,35.200432,09/08/1998,
4,"בנק יהב לעובדי המדינה בע""מ",124,,באר שבע,"שדרות שז""ר 33 ",באר שבע,8440803,36333,02-5009911,כן,יום א,רגיל,לא,כן,כן,כן,,,31.24589,34.804664,15/01/1985,
4,"בנק יהב לעובדי המדינה בע""מ",125,,אשקלון,שד' בן גוריון 13 ,אשקלון,7828110,36333,02-5009911,כן,יום א,רגיל,לא,לא,כן,כן,,,31.666138,34.558229,02/04/2000,
4,"בנק יהב לעובדי המדינה בע""מ",126,,מוקד טלפוני יהב ישיר,ירמיהו 80 ירמיהו 80,ירושלים,9446759,36333,02-5009911,כן,יום ו,יחידת ביצוע,לא,לא,כן,כן,,,31.790769,35.200432,01/12/1985,
4,"בנק יהב לעובדי המדינה בע""מ",128,,קריית גת,"כיכר פ""ז 3 קניון לב העיר",קריית גת,8201085,36333,02-5016813,כן,יום ו,רגיל,לא,לא,כן,כן,,,31.608672,34.773054,08/06/2017,
4,"בנק יהב לעובדי המדינה בע""מ",129,,כנפי נשרים,כנפי נשרים 62 ,ירושלים,9546427,36333,02-5009911,כן,יום ו,רגיל,לא,לא,כן,כן,,,31.787889,35.183037,18/05/2008,
4,"בנק יהב לעובדי המדינה בע""מ",130,,רוטשילד,שארית ישראל 35 ,תל אביב -יפו,6816521,36333,02-5009911,כן,יום ו,רגיל,לא,כן,כן,כן,,,32.052083,34.76403,01/02/1949,
4,"בנק יהב לעובדי המדינה בע""מ",131,,הקריה  תל אביב,הארבעה 19 ,תל אביב -יפו,6473919,36333,02-5009911,כן,יום א,רגיל,לא,כן,כן,כן,,,32.070487,34.78665,12/10/1983,
4,"בנק יהב לעובדי המדינה בע""מ",132,,תל השומר,"ביה""ח שיבא 9 ביתן 9 ביהח תל השומר",רמת גן,5262160,36333,02-5009911,כן,יום ו,רגיל,לא,כן,כן,כן,,,32.045907,34.84677,02/04/2000,
4,"בנק יהב לעובדי המדינה בע""מ",133,,נתניה,הרצל 60 קניון השרון,נתניה,4239226,36333,02-5009911,כן,יום א,רגיל,לא,לא,כן,כן,,,32.328814,34.856911,01/07/1999,
4,"בנק יהב לעובדי המדינה בע""מ",134,,"נתב""ג","לוד נתב""ג 1 טרמינל 1 לוד","אזור רמלה של""ש",7010000,36333,02-5009911,כן,יום ו,רגיל,לא,לא,כן,כן,,,31.994437,34.896552,01/10/2001,
4,"בנק יהב לעובדי המדינה בע""מ",135,,סניפון וולפסון- חולון,הלוחמים 62 בית חולים וולפסון,חולון,5822012,36333,02-5009911,כן,יום ו,רגיל,לא,לא,כן,כן,,,32.013793,34.777206,31/12/2002,
4,"בנק יהב לעובדי המדינה בע""מ",136,,ראשון לציון,ישראל גלילי 3 קרית הלאום,ראשון לציון,7542602,36333,02-5009911,כן,יום א,רגיל,לא,כן,כן,כן,,,31.969375,34.781732,01/10/2004,
4,"בנק יהב לעובדי המדינה בע""מ",137,,אסף הרופא,"ביה""ח אסף הרופא 1 מרכז מסחרי אסף סנטר",באר יעקב,7030094,36333,02-5009911,כן,יום ו,רגיל,לא,לא,כן,כן,,,31.96603,34.839411,06/01/2008,
4,"בנק יהב לעובדי המדינה בע""מ",138,,חדרה,הנשיא  ויצמן 21 ,חדרה,3842339,36333,02-5009911,כן,יום ו,רגיל,לא,כן,כן,כן,,,32.440104,34.918652,22/05/2000,
4,"בנק יהב לעובדי המדינה בע""מ",140,,חיפה,נתנזון 22 ,חיפה,3303509,36333,02-5009911,כן,יום ו,רגיל,לא,כן,כן,כן,,,32.816335,35.001831,01/02/1949,
4,"בנק יהב לעובדי המדינה בע""מ",141,,נהרייה,הרצל 64 מרכז הגעתון,נהרייה,2240113,36333,02-5009911,כן,יום א,רגיל,לא,לא,כן,כן,,,33.006974,35.096238,01/09/2000,
4,"בנק יהב לעובדי המדינה בע""מ",142,,נוף הגליל,הגלבוע 1 מתחם מול ההרים,נוף הגליל                ,1767303,36333,02-5009911,כן,יום ו,רגיל,לא,לא,כן,כן,,,32.703579,35.318626,01/06/2001,
4,"בנק יהב לעובדי המדינה בע""מ",144,,אוניברסיטת חיפה,אבא חושי 199 אוניברסיטת חיפה,חיפה,3498838,36333,02-5009911,כן,יום ו,רגיל,לא,לא,כן,כן,,,32.76143,35.019518,05/04/2016,31/08/2025
4,"בנק יהב לעובדי המדינה בע""מ",145,,קרנות השתלמות,ירמיהו 80 ,ירושלים,9446759,36333,02-5009911,כן,יום ו,יחידת ביצוע,לא,לא,כן,כן,,,31.790769,35.200432,30/11/1994,
4,"בנק יהב לעובדי המדינה בע""מ",146,,תוכניות חסכון,ירמיהו 80 ,ירושלים,9446759,36333,02-5009911,כן,יום ו,יחידת ביצוע,לא,לא,כן,כן,,,31.790769,35.200432,30/11/1994,
4,"בנק יהב לעובדי המדינה בע""מ",148,,אשראי,ירמיהו 80 ,ירושלים,9446759,36333,02-5009911,כן,יום ו,יחידת ביצוע,לא,לא,כן,כן,,,31.790769,35.200432,22/11/1992,
4,"בנק יהב לעובדי המדינה בע""מ",149,,הנהלה ראשית,ירמיהו 80 ,ירושלים,9446759,36333,02-5009911,כן,יום ו,יחידת ביצוע,לא,לא,כן,כן,,,31.790769,35.200432,01/12/1985,
4,"בנק יהב לעובדי המדינה בע""מ",150,,באר יעקב,מאיר דיזינגוף 1 ,באר יעקב,7030094,36333,02-5009911,כן,יום ו,רגיל,לא,לא,כן,כן,,,31.943507,34.83904,01/09/2010,
4,"בנק יהב לעובדי המדינה בע""מ",171,,בת ים,בלפור 72 ,בת ים,5963105,36333,02-5009911,כן,יום א,רגיל,לא,לא,כן,כן,,,32.021048,34.74533,01/09/2011,
4,"בנק יהב לעובדי המדינה בע""מ",193,,מעלה אדומים,דרך קדם 5 קניון אדומים,מעלה אדומים,9845203,36333,02-5009911,כן,יום א,רגיל,לא,כן,כן,כן,,,31.778717,35.316229,22/11/2011,
4,"בנק יהב לעובדי המדינה בע""מ",195,,איכלוב,"ויצמן 14 ביה""ח איכילוב",תל אביב -יפו,6423914,36333,02-5009911,כן,יום ו,רגיל,לא,לא,כן,כן,,,32.080584,34.789755,30/06/2011,
4,"בנק יהב לעובדי המדינה בע""מ",201,,שלוחה בהדסה,ת. דואר 12000 קרית הדסה 0 בית חולים הדסה עין כרם,ירושלים,9112000,36333,02-5016815,כן,יום ו,רגיל,לא,לא,כן,כן,,,31.76495,35.149411,16/06/2019,
4,"בנק יהב לעובדי המדינה בע""מ",202,,דלית אל כרמל,קניון עלי מול 0 קניון עלי מול כביש עוקף דליה,דאלית אל-כרמל,3005600,36333,04-8676687,כן,יום ו,רגיל,לא,לא,כן,כן,,,32.699101,35.059491,05/11/2019,
4,"בנק יהב לעובדי המדינה בע""מ",203,,נתיבות,בעלי המלאכה 0 צים סנטר,נתיבות,3498838,36333,08-9198430,כן,יום ו,רגיל,לא,לא,כן,כן,,,31.418213,34.595217,03/12/2018,
4,"בנק יהב לעובדי המדינה בע""מ",204,,תלפיות,יד חרוצים 19 ,ירושלים,9342156,36333,02-6219570,כן,יום א,רגיל,לא,לא,כן,כן,,,31.751235,35.216216,15/05/2022,
4,"בנק יהב לעובדי המדינה בע""מ",205,,דימונה,קניון פרץ סנטר 1 קניון פרץ סנטר,דימונה,8201085,36333,08-6983974,כן,יום ו,רגיל,לא,לא,כן,כן,,,31.059911,35.020253,05/12/2018,
4,"בנק יהב לעובדי המדינה בע""מ",206,,ראש העין,שייקה אופיר 3 מתחם שפיר סנטר,ראש העין,4813900,36333,03-6276611,כן,יום א,רגיל,לא,לא,כן,כן,,,32.086121,34.979786,20/02/2023,
4,"בנק יהב לעובדי המדינה בע""מ",207,,קרית אתא,העצמאות 37 קניון כפיר,קריית אתא,4813900,36333,04-8684321,כן,יום א,רגיל,לא,לא,כן,כן,,,32.803578,35.103537,29/06/2023,
4,"בנק יהב לעובדי המדינה בע""מ",211,,קריית אונו,השדרה האקדמית 2 ,קריית אונו,5500002,36333,02-5009911,כן,יום א,רגיל,לא,לא,כן,כן,,,32.069479,34.831528,01/01/2026,
4,"בנק יהב לעובדי המדינה בע""מ",212,,גלילות,צומת גלילות 1 בניין רב מכר  סינמה סיטי,רמת השרון,,36333,02-5009911,כן,יום ו,רגיל,לא,לא,כן,כן,,,32.146421,34.804749,04/03/2008,
4,"בנק יהב לעובדי המדינה בע""מ",233,,"רמב""ם","רח' העליה השנייה 8 בית החולים רמב""ם",חיפה,3525402,36333,02-5009911,כן,יום ו,רגיל,לא,לא,כן,כן,,,32.832988,34.985707,12/06/2002,
4,"בנק יהב לעובדי המדינה בע""מ",236,,הרצליה,סוקולוב 43 ,הרצלייה,4649708,36333,03-6254200,כן,יום א,רגיל,לא,לא,כן,כן,,,32.1663,34.8433,16/12/2026,
4,"בנק יהב לעובדי המדינה בע""מ",245,,עפולה,יהשוע חנקין 14 קניון העמקים,עפולה,1825416,36333,02-5009911,כן,יום א,רגיל,לא,לא,כן,כן,,,32.603528,35.294031,04/08/2008,
4,"בנק יהב לעובדי המדינה בע""מ",246,,סניף טבריה,יהודה הלוי 4 מתחם בזלת,טבריה,1424628,36333,02-5009911,כן,יום ו,רגיל,לא,לא,כן,כן,,,32.789854,35.533358,03/09/2008,
4,"בנק יהב לעובדי המדינה בע""מ",278,,סניף רחובות,הלל וחנן אופנהיימר 2 מרכז מסחרי,רחובות,7670102,36333,02-5009911,כן,יום א,רגיל,לא,לא,כן,כן,,,31.909411,34.805498,11/11/2008,
4,"בנק יהב לעובדי המדינה בע""מ",279,,קריית ביאליק,משה גושן 18 ,קריית ביאליק,2703929,36333,02-5009911,כן,יום א,רגיל,לא,לא,כן,כן,,,32.825181,35.076734,24/11/2008,
4,"בנק יהב לעובדי המדינה בע""מ",280,,כרמיאל,מעלה כמון 5 קניון חוצות כרמיאל,כרמיאל,2165006,36333,02-5009911,כן,יום א,רגיל,לא,לא,כן,כן,,,32.927988,35.326143,29/12/2008,
4,"בנק יהב לעובדי המדינה בע""מ",281,,אילת,הערבה 7 קניון שבעת הכוכבים  אילת,אילת,8801306,36333,02-5009911,כן,יום ו,רגיל,לא,לא,כן,כן,,,29.556007,34.954911,04/09/2024,
4,"בנק יהב לעובדי המדינה בע""מ",284,,חולון,צבי תדמור 12 מתחם נתנאל בשדרה,חולון,5834332,36333,02-5009911,כן,יום א,רגיל,לא,לא,כן,כן,,,32.013793,34.777206,29/01/2009,
4,"בנק יהב לעובדי המדינה בע""מ",311,,כרמל,שד' מוריה 44 ,חיפה,3457208,36333,02-5009911,כן,יום א,רגיל,לא,לא,כן,כן,,,32.798027,34.98439,22/08/2012,
4,"בנק יהב לעובדי המדינה בע""מ",401,,רמת גן,דרך בן גוריון 10 ,רמת גן,7527113,36333,02-5009911,כן,יום ו,רגיל,לא,לא,כן,כן,,,32.094848,34.821762,05/08/2012,
4,"בנק יהב לעובדי המדינה בע""מ",430,,לב ראשון,הרצל 52 ,ראשון לציון,3846201,36333,02-5009911,כן,יום א,רגיל,לא,לא,כן,כן,,,31.966277,34.802572,24/12/2012,
4,"בנק יהב לעובדי המדינה בע""מ",461,,בית שמש,יגאל אלון 3 קניון ביג פאשן,בית שמש,9906203,36333,02-5009911,כן,יום א,רגיל,לא,לא,כן,כן,,,31.756503,34.989617,20/09/2013,
4,"בנק יהב לעובדי המדינה בע""מ",488,,משכנות האומה,שד' יצחק רבין 10 סינימה סיטי,ירושלים,9543501,36333,02-5009911,כן,יום ו,רגיל,לא,כן,כן,כן,,,31.782608,35.203762,19/03/2014,
4,"בנק יהב לעובדי המדינה בע""מ",497,,פסגת זאב,שד' משה דיין 166 שכונת פסגת זאב,ירושלים,9781609,36333,02-5009911,כן,יום א,רגיל,לא,כן,כן,כן,,,31.820497,35.239889,10/12/2021,
4,"בנק יהב לעובדי המדינה בע""מ",725,,יקנעם עילית,התמר 2 קניון G,יקנעם עילית,2068701,36333,04-6773924,כן,יום ו,רגיל,לא,לא,כן,כן,,,32.659583,35.105129,04/11/2019,
4,"בנק יהב לעובדי המדינה בע""מ",824,,שדרות,אבני החושן 4 דרך מנחם בגין,שדרות,8201085,36333,08-6983573,כן,יום ו,רגיל,לא,לא,כן,כן,,,31.522694,34.595581,04/12/2018,
4,"בנק יהב לעובדי המדינה בע""מ",825,,מגדל העמק,שאול עמור 77 מתחם פרץ סנטר,מגדל העמק,2353021,36333,04-8756642,כן,יום ו,רגיל,לא,לא,כן,כן,,,32.678267,35.243565,03/11/2019,
10,"בנק לאומי לישראל בע""מ",164,,שלוחת רמת בית שמש,נחל זהר 3 ללא,בית שמש,9909603,0,03-9545522,כן,יום ו,רגיל,לא,לא,לא,לא,,674,31.714306,34.987941,05/05/2008,09/01/2024
10,"בנק לאומי לישראל בע""מ",187,,שלוחת עסקים הקריות,קרן היסוד 29 בניין A קומה 1,קריית אתא,2822460,0,03-9545522,כן,יום ו,מיוחד,לא,לא,לא,לא,,887,32.8069,35.07776,19/03/2024,14/04/2024
10,"בנק לאומי לישראל בע""מ",263,,משכנתאות קרני שומרון,הגפן 1 ללא,קרני שומרון,4487856,0,076-8038181,כן,יום ו,מיוחד,לא,כן,לא,לא,,,32.17062,35.0841,24/12/2024,
10,"בנק לאומי לישראל בע""מ",281,,"מרכז החתמת משכנתא קש""ב לוד","יודפת 1 קש""ב לוד",לוד,7129102,0,03-9545522,כן,יום ו,יחידת ביצוע,לא,לא,לא,לא,,,31.961332,34.900407,25/10/2021,
10,"בנק לאומי לישראל בע""מ",376,,"שלוחת רשב""י","רשב""י 15 רובע ז'",אשדוד,7765042,0,03-9545522,כן,יום ו,רגיל,לא,לא,לא,לא,,,31.789057,34.664922,18/08/2024,01/07/2025
10,"בנק לאומי לישראל בע""מ",601,,פפר,מונטיפיורי 31 קומה 1,תל אביב -יפו,6520101,0,03-9545522,כן,יום ש,סניף דיגיטלי,לא,לא,לא,לא,,998,32.06592,34.77326,08/05/2016,19/12/2024
10,"בנק לאומי לישראל בע""מ",606,,"בנקאות פרטית בינלאומית 606 ת""א",לאונרדו דה וינצ'י 12 לאונרדו דה וינצ'י 12 כניסה A קומה 7,תל אביב -יפו,6473117,0,03-9545522,כן,יום ו,מיוחד,לא,לא,לא,לא,,,32.07414,34.78501,01/02/1949,
10,"בנק לאומי לישראל בע""מ",607,,מרכז עסקים נגב,תורת היחסות 11 בנין 3,באר שבע,8489325,0,03-9545522,כן,יום ו,מיוחד,לא,לא,לא,לא,,,31.264265,34.813958,01/02/1949,
10,"בנק לאומי לישראל בע""מ",609,,מרכז ייעוץ היברידי,הרצל 200 ללא,רחובות,7627005,0,03-9545522,כן,יום ו,יחידת ביצוע,לא,לא,לא,לא,,,31.899218,34.810393,11/01/2022,
10,"בנק לאומי לישראל בע""מ",613,,קלנסואה,אל קודס 0 ללא,קלנסווה,4064000,0,03-9545522,כן,יום ו,רגיל,לא,לא,לא,לא,,,32.284591,34.985311,28/03/2016,
10,"בנק לאומי לישראל בע""מ",614,,בנקאות פרטית הרצליה,המנופים 15 בית לידר אזור תעשיה הרצליה,הרצלייה,4672510,0,03-9545522,כן,יום ו,מיוחד,לא,כן,לא,לא,,,32.159955,34.809193,13/11/2016,
10,"בנק לאומי לישראל בע""מ",615,,כאבול,הכניסה לכפר 0 ללא,כאבול,2496300,0,03-9545522,כן,יום ו,רגיל,לא,לא,לא,לא,,,32.871091,35.202397,28/03/2016,
10,"בנק לאומי לישראל בע""מ",618,,מרכז עסקים לכיש,"צה""ל 3 ללא",אשדוד,7745400,0,03-9545522,כן,יום ו,מיוחד,לא,לא,לא,לא,,,31.793184,34.63933,25/11/1998,
10,"בנק לאומי לישראל בע""מ",621,,מודיעין עילית,שד' יחזקאל 2 ללא,מודיעין עילית,7183402,0,03-9545522,כן,יום ו,רגיל,לא,כן,לא,לא,,,31.936712,35.039686,07/06/2016,
10,"בנק לאומי לישראל בע""מ",626,,בנקאות פרטית דן,לאונרדו דה וינצ'י 12 לאונרדו דה וינצ'י 12 כניסה A קומה 7,תל אביב -יפו,6473117,0,03-9545522,כן,יום ו,מיוחד,לא,לא,לא,לא,,,32.07414,34.78501,07/02/2016,
10,"בנק לאומי לישראל בע""מ",631,,רמת אביב למד,ברודצקי 43 נכס סניף אינשטיין 833,תל אביב -יפו,6905233,0,03-9545522,כן,יום ו,רגיל,לא,לא,לא,לא,,,32.11197,34.797026,01/02/1949,
10,"בנק לאומי לישראל בע""מ",635,,דניה,חורב 14 אחוזה,חיפה,3434120,0,03-9545522,כן,יום ו,רגיל,לא,לא,לא,לא,,,32.785274,34.985881,31/07/2007,
10,"בנק לאומי לישראל בע""מ",638,,מבשרת ציון,ארבל 17 ללא,מבשרת ציון,9075717,0,03-9545522,כן,יום ו,רגיל,לא,לא,לא,לא,,,31.806127,35.152701,21/02/2008,
10,"בנק לאומי לישראל בע""מ",640,,מוקד חשבונות ללא קשר,אבא הלל סילבר 3 קרית שירותי בלל,לוד,7129404,0,03-9545522,כן,יום ו,יחידת ביצוע,לא,לא,לא,לא,,,31.963143,34.901649,01/01/2014,
10,"בנק לאומי לישראל בע""מ",641,,עסקים גליל מערבי,ויצמן 64 ללא,נהרייה,2242001,0,03-9545522,כן,יום ו,מיוחד,לא,לא,לא,לא,,,33.006769,35.092681,12/05/2009,
10,"בנק לאומי לישראל בע""מ",644,,כפר כנא,הרחוב הראשי 0 ללא,כפר כנא,1693000,0,03-9545522,כן,יום ו,רגיל,לא,לא,לא,לא,,,32.749897,35.340461,10/02/2016,
10,"בנק לאומי לישראל בע""מ",646,,יחידת בצוע-נהול אשראי מרוכז,אבא הלל סילבר 3 קרית שירותי בלל,לוד,7129404,0,03-9545522,כן,יום ש,יחידת ביצוע,לא,לא,לא,לא,,,31.963143,34.901649,02/01/2002,
10,"בנק לאומי לישראל בע""מ",647,,עסקים גבעת שאול,כנפי נשרים 35 רחוב רוברטו בקי ירושלים. בניין התאגיד קומה 6,ירושלים,9546448,0,03-9545522,כן,יום ו,מיוחד,לא,לא,לא,לא,,,31.78727,35.18136,11/08/2009,
10,"בנק לאומי לישראל בע""מ",648,,עסקים נתניה,הצורן 4 בנין 10 קומה 4,נתניה,4366505,0,03-9545522,כן,יום ו,מיוחד,לא,לא,לא,לא,,,32.288237,34.866112,06/09/2012,
10,"בנק לאומי לישראל בע""מ",652,,כפר קאסם,עלי בן אבו טאלב 0 עלי בן אבו טאלב פינת חאלד בן אל ואליד,כפר קאסם,4881000,0,03-9545522,כן,יום ו,רגיל,לא,לא,לא,לא,,,32.11416,34.96812,01/02/1949,
10,"בנק לאומי לישראל בע""מ",655,,קסם,הירדן 79 ללא,רמת גן,5233361,0,03-9545522,כן,יום ו,רגיל,לא,לא,לא,לא,,,32.061691,34.828435,01/02/1949,
10,"בנק לאומי לישראל בע""מ",658,,מ.גידורים והשק' - מרכז,דרך מנחם בגין 7 בית גיבור,רמת גן,5268108,0,03-9545522,כן,יום ו,יחידת ביצוע,לא,לא,לא,לא,,,32.085305,34.800169,12/12/2018,
10,"בנק לאומי לישראל בע""מ",661,,מרכז קופות ירושלים,המלך ג'ורג' 22 בתוך סניף קינג ג'ורג',ירושלים,9426203,0,03-9545522,כן,יום ו,מיוחד,כן,לא,לא,לא,,,31.78147,35.21582,03/03/2019,
10,"בנק לאומי לישראל בע""מ",662,,סיטי אשדוד,שדרות הציונות 13 ללא,אשדוד,7745614,0,03-9545522,כן,יום ו,רגיל,לא,כן,לא,לא,,,31.787596,34.643142,28/08/2006,
10,"בנק לאומי לישראל בע""מ",663,,מרכז קופות באר שבע,יצחק רגר 11 דרך הנשיאים 11  מגדל שבע,באר שבע,8489506,0,03-9545522,כן,יום ו,מיוחד,כן,לא,לא,לא,,,31.245422,34.795911,24/02/2022,
10,"בנק לאומי לישראל בע""מ",666,,עסקים הבורסה רמת גן,שוהם 2 ללא,רמת גן,5251003,0,03-9545522,כן,יום ו,מיוחד,לא,לא,לא,לא,,,32.084774,34.800202,16/02/1984,
10,"בנק לאומי לישראל בע""מ",668,,עסקים שורק,שדרות הרצל 84 בנכס סניף רמלה 936,רמלה,7240656,0,03-9545522,כן,יום ו,מיוחד,לא,לא,לא,לא,,,31.929268,34.870508,09/01/2022,
10,"בנק לאומי לישראל בע""מ",669,,היקב ראשון לציון,"זד""ל 7 ללא",ראשון לציון,7526658,0,03-9545522,כן,יום ו,רגיל,לא,כן,לא,לא,,,31.962764,34.805175,01/02/1949,
10,"בנק לאומי לישראל בע""מ",672,,עסקים עפולה,מנחם בגין 72 קומה 2,עפולה,1871356,0,03-9545522,כן,יום ו,מיוחד,לא,לא,לא,לא,,,32.602531,35.298222,10/02/2022,
10,"בנק לאומי לישראל בע""מ",674,,רמת בית שמש,הרב מנחם פרוש 1 מרכז מסחרי השדרה,בית שמש,9964114,0,03-9545522,כן,יום ו,רגיל,לא,כן,לא,לא,,,31.70859,34.99013,08/01/2024,
10,"בנק לאומי לישראל בע""מ",676,,אור יהודה,אליהו סעדון קניון קניאור 120 ללא,אור יהודה,6039706,0,03-9545522,כן,יום ו,רגיל,לא,לא,לא,לא,,,32.02568,34.85789,18/06/1991,
10,"בנק לאומי לישראל בע""מ",678,,לאומי וי איי פי,טוליפמן 7 ללא,ראשון לציון,7536406,0,03-9545522,כן,יום ו,סניף דיגיטלי,לא,לא,לא,לא,,,31.983142,34.812685,15/01/1995,
10,"בנק לאומי לישראל בע""מ",679,,מבואות עצמאיות,אבא הלל סילבר 3 קרית שירותי בלל,לוד,7129404,0,03-9545522,כן,יום ש,יחידת ביצוע,לא,לא,לא,לא,,,31.963143,34.901649,01/01/2018,
10,"בנק לאומי לישראל בע""מ",680,,מודיעין,הרכבת 2 ללא,מודיעין-מכבים-רעות*,7178618,0,03-9545522,כן,יום ו,רגיל,לא,כן,לא,לא,,,31.90272,35.00728,18/03/1998,
10,"בנק לאומי לישראל בע""מ",681,,רמת פולג,זלמן שזר 10 ללא,נתניה,4249306,0,03-9545522,כן,יום ו,רגיל,לא,כן,לא,לא,,,32.275505,34.844496,16/02/1998,
10,"בנק לאומי לישראל בע""מ",683,,כוכב יאיר,ויצמן 139 ללא,כפר סבא,4423146,0,03-9545522,כן,יום ו,רגיל,לא,לא,לא,לא,,,32.17453,34.91294,22/02/2001,
10,"בנק לאומי לישראל בע""מ",685,,בנקאות פרטית חיפה,שד' הנשיא 107 מרכז פנורמה,חיפה,3464101,0,03-9545522,כן,יום ו,מיוחד,לא,לא,לא,לא,,,32.806682,34.987228,05/02/2002,
10,"בנק לאומי לישראל בע""מ",686,,"בנקאות פרטית ת""א",הארבעה 28 מגדל חג'ג' קומה 22,תל אביב -יפו,6107025,0,03-9545522,כן,יום ו,מיוחד,לא,לא,לא,לא,,,32.07027,34.78655,26/02/2002,
10,"בנק לאומי לישראל בע""מ",688,,בנקאות פרטית השרון,המנופים 15 בית לידר אזור תעשיה הרצליה,הרצלייה,4672510,0,03-9545522,כן,יום ו,מיוחד,לא,לא,לא,לא,,,32.159955,34.809193,20/06/2002,
10,"בנק לאומי לישראל בע""מ",696,1,מרכז בנקאות י-ם,הר חוצבים 1 קריית המדע,ירושלים,7019900,0,03-9545522,כן,יום ו,יחידת ביצוע,לא,לא,לא,לא,,,31.800461,35.211,01/01/2013,
10,"בנק לאומי לישראל בע""מ",696,2,מרכז בנקאות אשקלון,הגבורה 1 ללא,אשקלון,7834201,0,03-9545523,כן,יום ו,יחידת ביצוע,לא,לא,לא,לא,,,31.66552,34.56327,03/10/2023,
